"CLINIC_ID","ACTIVITY_AT","ACTIVITY_TYPE","FEATURE","MODULE","ANALYTICS_DOMAIN","IS_TRANSACTION","IS_BNPL_ACTIVITY","IS_VALID_ACTIVITY","IS_DELETION_ACTIVITY","IS_MANAGEMENT_ACTIVITY","IS_FINANCE_ACTIVITY"
"9825","2023-08-24 18:46:47.733","patient_discarded","patient_management","patient","patient",false,false,true,true,true,false
"9984","2023-08-24 19:41:43.497","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9984","2023-08-24 19:41:44.037","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9984","2023-08-24 19:51:20.451","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9984","2023-08-24 19:51:46.663","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9986","2023-08-24 20:32:47.128","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9986","2023-08-24 20:32:47.762","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9988","2023-08-24 22:06:04.848","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9988","2023-08-24 22:06:05.377","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9690","2023-08-24 22:07:59.840","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9690","2023-08-24 22:08:00.859","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9989","2023-08-24 22:44:49.317","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9989","2023-08-24 22:44:50.070","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9990","2023-08-24 23:47:18.263","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9990","2023-08-24 23:47:18.858","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9991","2023-08-25 00:17:02.921","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9991","2023-08-25 00:17:03.550","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9993","2023-08-25 01:17:15.582","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9993","2023-08-25 01:18:05.407","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:18:46.967","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:19:19.412","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:19:59.010","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:20:41.714","anamnesis_created","anamnese","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:36:28.310","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9993","2023-08-25 01:36:28.683","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9993","2023-08-25 01:37:00.048","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9993","2023-08-25 01:38:57.871","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9993","2023-08-25 01:41:04.430","new_user_created","user_management","setup","setup",false,false,true,false,true,false
"9993","2023-08-25 01:43:48.987","budget_created","budget_management","patient","patient",false,false,true,false,true,false
"9993","2023-08-25 01:47:03.627","complete_credit_check","credit_check","finance","finance",true,false,true,false,false,true
"9994","2023-08-25 05:25:07.026","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9994","2023-08-25 05:25:28.712","anamnesis_created","anamnese","patient","patient",false,false,true,false,true,false
"9994","2023-08-25 05:28:39.012","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9994","2023-08-25 05:29:19.982","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9994","2023-08-25 05:30:28.455","budget_created","budget_management","patient","patient",false,false,true,false,true,false
"9994","2023-08-25 05:31:46.327","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9994","2023-08-25 05:31:46.784","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 08:56:33.488","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:03:02.940","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9991","2023-08-25 09:06:53.183","procedure_created","medical_record","patient","patient",false,false,true,false,true,false
"9825","2023-08-25 09:17:52.528","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9825","2023-08-25 09:19:18.471","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:22:31.417","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9825","2023-08-25 09:22:39.451","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:24:19.675","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9825","2023-08-25 09:25:03.448","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9825","2023-08-25 09:25:18.753","patient_discarded","patient_management","patient","patient",false,false,true,true,true,false
"9825","2023-08-25 09:52:11.200","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:52:43.654","time_slot_discarded","scheduling","schedule","scheduling",false,false,true,true,true,false
"9825","2023-08-25 09:53:33.957","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:53:55.606","patient_created","patient_management","patient","patient",false,false,false,false,true,false
"9825","2023-08-25 09:54:50.053","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 09:59:17.271","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:00:28.464","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:00:55.436","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:01:53.243","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:02:13.175","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:03:23.485","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:03:42.970","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9933","2023-08-25 10:04:00.409","pre_analysis","bnpl","finance","bnpl",false,true,false,false,false,true
"9825","2023-08-25 10:04:03.567","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:06:13.352","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:08:06.648","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:08:52.748","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:09:26.737","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:09:53.243","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:10:43.337","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:11:14.618","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
"9825","2023-08-25 10:17:28.521","time_slot_created","scheduling","schedule","scheduling",false,false,true,false,true,false
